"PM_INSTANCE_ID","PM_TRANS_DEFN_SET","PM_TRANS_DEFN_ID","PM_AGENTID","PM_TRANS_STATUS","OPRID","PM_PERF_TRACE","PM_CONTEXT_VALUE1","PM_CONTEXT_VALUE2","PM_CONTEXT_VALUE3","PM_CONTEXTID_1","PM_CONTEXTID_2","PM_CONTEXTID_3","PM_PROCESS_ID","PM_AGENT_STRT_DTTM","PM_MON_STRT_DTTM","PM_TRANS_DURATION","PM_PARENT_INST_ID","PM_TOP_INST_ID","PM_METRIC_VALUE1","PM_METRIC_VALUE2","PM_METRIC_VALUE3","PM_METRIC_VALUE4","PM_METRIC_VALUE5","PM_METRIC_VALUE6","PM_METRIC_VALUE7","SYNCDTTM","PM_ADDTNL_DESCR"
1057047286120455,1,100,11,"1","_unknown_"," ","PrRv06HnMr-2MeO-fzOgUD7PUbTbKk0B!1799390037!1741337895399","83.85.128.75","Expire",3,2,1,0,07-MAR-25 08.58.15.399000000 AM,07-MAR-25 08.58.24.872253000 AM,24,0,1057047286120455,200,0,0,0,0,0," ",07-MAR-25 01.25.06.000000000 AM,"http://instance-psfthcm-monitored.subnet02171257.vcn02171257.oraclevcn.com:5080/psp/ps_1/EMPLOYEE/HRMS/?cmd=expire"
1057047286120480,1,100,11,"1","_unknown_"," ","bKFv7CleA7sl5Du1kl4e6PR2z0Jpu033!1799390037!1741339502942","83.85.128.75","Login",3,2,1,0,07-MAR-25 09.25.02.941000000 AM,07-MAR-25 09.25.05.445592000 AM,20,0,1057047286120480,200,0,0,0,0,0," ",07-MAR-25 01.25.06.000000000 AM,"http://instance-psfthcm-monitored.subnet02171257.vcn02171257.oraclevcn.com:5080/psp/ps_1/?cmd=login&languageCd=ENG"
1057047286120481,1,113,11,"3","_unknown_"," ","bKFv7CleA7sl5Du1kl4e6PR2z0Jpu033!1799390037!1741339502942","83.85.128.75"," ",3,2,0,0,07-MAR-25 09.25.02.947000000 AM,07-MAR-25 09.25.05.451594000 AM,14,1057047286120480,1057047286120480,0,0,0,0,0,0," ",07-MAR-25 01.25.06.000000000 AM,""
1057047286120482,1,100,11,"1","_unknown_"," ","4VZv7FiCQ7N53O_6FXHPzXZFRaRO5nQa!1799390037!1741339515010","83.85.128.75","Login",3,2,1,0,07-MAR-25 09.25.15.010000000 AM,07-MAR-25 09.25.15.364604000 AM,101,0,1057047286120482,302,0,0,0,0,0," ",07-MAR-25 01.25.06.000000000 AM,"http://instance-psfthcm-monitored.subnet02171257.vcn02171257.oraclevcn.com:5080/psp/ps_1/?&cmd=login&languageCd=ENG"
1057047286120483,1,113,11,"1","_unknown_"," ","4VZv7FiCQ7N53O_6FXHPzXZFRaRO5nQa!1799390037!1741339515010","83.85.128.75"," ",3,2,0,0,07-MAR-25 09.25.15.014000000 AM,07-MAR-25 09.25.15.415605000 AM,50,1057047286120482,1057047286120482,0,0,0,0,0,0,"PS",07-MAR-25 01.25.06.000000000 AM,""
1057047286120484,1,115,11,"1","_unknown_"," ","1VRv7FiNpGT1WwfRPwut0XpOalX45Qn_!1799390037!1741339515021","83.85.128.75","GetCertificate",3,2,6,0,07-MAR-25 09.25.15.021000000 AM,07-MAR-25 09.25.15.423605000 AM,42,1057047286120483,1057047286120482,6217,44257,0,0,0,0," ",07-MAR-25 01.25.06.000000000 AM,""
1057047286120485,1,109,11,"1","_unknown_"," ","1VRv7FiNpGT1WwfRPwut0XpOalX45Qn_!1799390037!1741339515021","83.85.128.75"," ",3,3,0,0,07-MAR-25 09.25.15.064000000 AM,07-MAR-25 09.25.15.465606000 AM,0,1057047286120483,1057047286120482,0,0,0,0,0,0,"PS",07-MAR-25 01.25.06.000000000 AM,""
1057047286120486,1,115,11,"1","_unknown_"," ","1VRv7FiNpGT1WwfRPwut0XpOalX45Qn_!1799390037!1741339515021","83.85.128.75","PortalRegistry",3,2,6,0,07-MAR-25 09.25.15.072000000 AM,07-MAR-25 09.25.15.455607000 AM,10,1057047286120482,1057047286120482,1513,562,0,0,0,0," ",07-MAR-25 01.25.06.000000000 AM,""
1057047286120487,1,115,11,"1","_unknown_"," ","1VRv7FiNpGT1WwfRPwut0XpOalX45Qn_!1799390037!1741339515021","83.85.128.75","PortalRegistry",3,2,6,0,07-MAR-25 09.25.15.083000000 AM,07-MAR-25 09.25.15.452607000 AM,13,1057047286120482,1057047286120482,1529,14666,0,0,0,0," ",07-MAR-25 01.25.06.000000000 AM,""
1057012926382104,1,400,13,"1","_unknown_"," ","PpmMonSvc","PSAPPSRV","PpmMonSvc",14,15,16,4857,07-MAR-25 08.58.15.177000000 AM,07-MAR-25 08.58.23.859745000 AM,36,0,1057012926382104,0,0,0,30.384,9,13,"SQL Trace level=0; Peoplecode Trace level=0; Ppr Trace level=0Pia Trace level=0",07-MAR-25 01.25.06.000000000 AM,""
1057047286120488,1,115,11,"1","_unknown_"," ","1VRv7FiNpGT1WwfRPwut0XpOalX45Qn_!1799390037!1741339515021","83.85.128.75","PortalRegistry",3,2,6,0,07-MAR-25 09.25.15.097000000 AM,07-MAR-25 09.25.15.461607000 AM,4,1057047286120482,1057047286120482,1529,488,0,0,0,0," ",07-MAR-25 01.25.06.000000000 AM,""
